ID_Evento,Cant_Semillas,Cult_ant,Poblacion,Origen_sem,ContEnfQuí,ContMalQuí,ContPlaQuí,AcmFerEnm,AcmFerOrg,AcmFerQui,TotN,TotP,TotK,Pendiente,pH,Estructura,Prof_efectiva,Textura,Materia_Organica,RDT
165,20,Granadilla,31209,Otra finca,11,0,9,0,1125,336,47.04,127.68,16.8,30,5,GRANULAR,60,F,MEDIA,1458
166,20,Maiz,24440,La misma finca,14,2,10,0,1142,428,79.18,107,23.54,4,4,GRANULAR,60,F,MEDIA,2214
167,24,Frijol,28536,La misma finca,6,2,3,328,0,492,66.42,63.96,93.48,57,4,GRANULAR,60,F,MEDIA,2195
168,25,Frijol,29250,Otra finca,10,2,8,0,0,500.25,70,175,30,52,4.5,GRANULAR,59,FrL,MEDIA,1625
169,25,Maiz,28200,La misma finca,15,4,10,0,0,416.17,62.4,16.64,95.68,45,4,GRANULAR,70,FA,MEDIA,1666
170,25,Frijol,27600,La misma finca,11,2,8,833.3,0,499.8,118.286,46.648,58.31,48,4,GRANULAR,60,F,MEDIA,916.6
171,20,Frijol,23400,La misma finca,11,0,9,300,0,600,96,63,99,16.5,4.5,GRANULAR,60,F,MEDIA,800
172,22,Frijol,26325,La misma finca,14,3,10,0,1125,475,37.5,37.5,37.5,62,4,GRANULAR,60,FAr,MEDIA,1000
173,29,Frijol,36329,La misma finca,12,0,7,296,0,259.4,44.03,15.54,46.62,13,4.5,GRANULAR,60,F,MEDIA,1351
174,24,Frijol,26496,Otra finca,13,2,10,0,0,453.87,78,87,54,46,4,GRANULAR,60,FrL,MEDIA,302
175,23,Frijol,27906,La misma finca,10,0,9,366,0,383.3,48.33,51.992,67.996,48,4,GRANULAR,60,FAr,MEDIA,500
176,24,Maiz,28819,La misma finca,13,2,8,0,0,208.24,31.125,31.125,31.125,37,4,GRANULAR,60,F,MEDIA,498
177,25,Frijol,49800,La misma finca,1,1,1,800,2500,550,55,110,110,35,5.5,GRANULAR,61,FA,MEDIA,2250
